quesstion_id,question,img_code,answer_a,answer_b,answer_c,answer_d,type
50,"Trong nghiên cứu thị trường và người dùng, loại nghiên cứu nào thường sử dụng câu hỏi mở?",21751,Nghiên cứu thứ cấp,Nghiên cứu định lượng,Nghiên cứu định tính ,Nghiên cứu suy luận,single_choice
53,"Để đưa ra quyết định thiết kế ứng dụng fitness, nhóm nghiên cứu muốn tìm hiểu những nhu cầu của người dùng chưa đươc giải quyết bởi các App hiện có trên thị trường. 

Nhóm nghiên cứu tiến hành phỏng vấn sâu 20 người yêu thích fitness và yêu cầu người dùng đưa ra các vấn đề lớn nhất họ gặp phải với các ứng dụng họ đã từng sử dụng trong 6 tháng gần nhất. 

Dựa vào dữ liệu này, nhóm nghiên cứu xác định ra vùng cơ hội mà ứng dụng có thể tập trung vào. Đây là loại nghiên cứu nào?",,"Nghiên cứu khả năng sử dụng (Usability research)
",Nghiên cứu thứ cấp (Secondary research),Nghiên cứu định lượng (Quantitative research),Nghiên cứu định tính (Qualitative research) ,single_choice
57,Exploratory research is best suited for which purpose?,,Testing hypotheses,Identifying new ideas,Describing behaviors,Explaining relationships,single_choice
60,Giai đoạn Application trong Customer Journey chủ yếu liên quan đến hành động nào của người dùng?,,"Người dùng bắt đầu đánh giá hoặc tìm kiếm thêm nhiều phương án thay thế, và cân nhắc lựa chọn phương án",Người dùng quyết định bỏ qua sản phẩm vì không phù hợp,Người dùng hoàn thành việc mua hàng ,Người dùng chia sẻ phản hồi về sản phẩm sau khi sử dụng,single_choice
63,Diversity trong sampling nghĩa là gì?,,Chỉ 1 nhóm tham gia,"Có nhiều nhóm, phân khúc khác nhau tham gia",Sample size lớn,Không có bias,single_choice
66,Diversity thường gắn với yếu tố nào?,,Sở thích researcher,"Giới tính, độ tuổi, khu vực, hành vi",Ngân sách,Thời gian,single_choice
69,Cách đảm bảo diversity?,,Convenience sampling,Phân tầng hoặc quota sampling,Chỉ lấy 1 nguồn,Random một nhóm,single_choice
72,Wireframe có thể được thiết kế bằng công cụ:,,Visual Studio Code,Giấy bút ,Figma ,Draw.io ,multiple_choice
73,Một nghiên cứu vi phạm đạo đức khi:,,Thu thập dữ liệu có sự đồng ý,Thu thập dữ liệu mà không xin phép,Cung cấp thông tin rõ ràng,Cho phép người tham gia rút lui,single_choice
74,Mục đích chính của thống kê mô tả là gì?,,Xây dựng mô hình dự đoán,Tóm tắt và trình bày dữ liệu để dễ hiểu hơn,Kiểm định giả thuyết và suy rộng ra tổng thể,Xác định mối quan hệ nhân quả,single_choice
78,"Khi người dùng không sử dụng tính năng A, câu hỏi đầu tiên bạn nên đặt ra là:",186573,Người dùng có biết tính năng đó không?,Vấn đề người dùng thực sự là gì? ,Làm sao tăng số lượng phễu đầu vào cho tính năng A?,,single_choice
90,UX research giúp UX Researcher tìm hiểu được những thông tin gì về người dùng?,,Nhu cầu (need) ,Động lực (motivation) ,Hành vi (behavior) ,,multiple_choice
105,1-Pager là gì?,,Một báo cáo chi tiết về chiến lược kinh doanh,Một tài liệu dài mô tả toàn bộ kế hoạch dự án,"Một tài liệu tóm tắt ngắn gọn, trình bày thông tin chính về sản phẩm, dự án hoặc ý tưởng nhằm thống nhất mục tiêu và kế hoạch giữa các bộ phận ",Một tài liệu hướng dẫn chi tiết cách sử dụng sản phẩm,single_choice
107,"Điều nào sau đây không nên xuất hiện trên một 1-Pager?
",,Mục tiêu của dự án hoặc sản phẩm,Các thông số kỹ thuật chi tiết và toàn bộ mã nguồn ,Mục tiêu đo lường thành công (metrics),"Giải pháp và tính năng chính
",single_choice
232,Mối tương quan của DAU một ngày bất kỳ trong tuần với WAU của tuần đó là gì?,,DAU < WAU,DAU ≤ WAU ,DAU > WAU,DAU ≥ WAU,single_choice
350,Mối quan hệ giữa MAU và WAU của một tuần bất kỳ trong tháng đó là:,148645,MAU = WAU,DAU ≥ WAU,DAU ≠ WAU,DAU ≤ WAU ,single_choice
357,"Nếu cùng phương pháp đo lường, DAU một ngày bất kỳ trong tháng có thể lớn hơn MAU tháng đó không?",,Có,Không ,"Có, nếu đó là tháng cuối năm","Có, nếu đó tháng đó có 31 ngày",single_choice
359,North Star Metric thường được định nghĩa là gì?,,Doanh thu hằng tháng của công ty,Tổng số feature đã phát triển,Chỉ số phản ánh giá trị cốt lõi mà sản phẩm mang lại cho khách hàng,Tốc độ release sản phẩm,single_choice
158,"Sau khi thực hiện A/B testing, kết quả cho thấy phiên bản B (mới) có hiệu suất tốt hơn phiên bản A (cũ), bước tiếp theo cần thực hiện là gì?",,Đảm bảo rằng phiên bản B sẽ được áp dụng ngay lập tức cho tất cả người dùng,Phân tích sâu hơn để xác định yếu tố nào trong phiên bản B mang lại sự cải thiện và triển khai thêm thử nghiệm ,Dừng việc thử nghiệm và quay lại với phiên bản A,"Tiến hành thử nghiệm thêm với một phiên bản C hoàn toàn khác phiên bản A, B",single_choice
208,"In survey, which format is best for measuring opinions?",199518,Single choice,Frequency scale,Likert scale,Multiple choice,single_choice
362,"Trong một ứng dụng thương mại điện tử, công thức để break down GMV (Tổng giá trị hàng hóa giao dịch) là:",,GMV = Tổng GMV của từng danh mục sản phẩm,"GMV = Số người dùng truy cập × Tỷ lệ bounce
",GMV = Số đơn hàng thành công × Giá trị trung bình mỗi đơn hàng,GMV = Tỷ lệ giữ chân khách hàng × MAU,single_choice
363,"So sánh CR từ step A -> B trong 4 giờ với trong 12 giờ?
Cho rằng đo lường trên cùng timeframe, cùng tập người dùng và cùng các điều kiện khác.",,CR trong 4 giờ > CR trong 12 giờ,CR trong 4 giờ ≥ CR trong 12 giờ,CR trong 4 giờ < CR trong 12 giờ,CR trong 4 giờ ≤ CR trong 12 giờ ,single_choice
230,Điều nào sau đây là sự khác biệt chính giữa Cohort và Segmentation trong phân tích người dùng sản phẩm?,,"Cohort phân loại người dùng theo các đặc điểm tĩnh như độ tuổi và giới tính, trong khi Segmentation phân loại người dùng theo hành vi và thời gian.","Cohort là nhóm người dùng được phân loại dựa trên tương tác với sản phấm, trong khi Segmentation là phân loại người dùng theo các đặc điểm tĩnh như độ tuổi, giới tính hoặc địa lý. ","Cohort là phân loại người dùng theo sở thích và thói quen, trong khi Segmentation là phân loại người dùng theo số lượng lần họ đăng nhập.",Cohort và Segmentation đều giống nhau và có thể thay thế cho nhau trong mọi trường hợp.,single_choice
235,Cải thiện trải nghiệm Onboarding giúp gia tăng retention rate của nhóm người dùng nào sau đây:,,Return User,New User ,Churn user,Daily User,single_choice
239,Làm thế nào để tránh sử dụng Dark Pattern trong thiết kế sản phẩm?,,Chỉ sử dụng thiết kế đơn giản với ít lựa chọn để tránh gây nhầm lẫn,"Đảm bảo rằng người dùng luôn có lựa chọn rõ ràng và công bằng, đồng thời không ép buộc họ vào bất kỳ quyết định nào ",Đưa ra các khuyến mãi lớn nhưng ẩn các chi phí ẩn để tăng tỉ lệ chuyển đổi,"Tạo giao diện rất phức tạp để người dùng phải nhấp nhiều lần để hoàn thành mục tiêu của họ
",single_choice
242,Đâu là một bước trong quy trình Design Thinking?,,Prototype,Define,Ideate,Cả 3 đáp án trên ,single_choice
248,"Trong giao diện ""My profile"", khi không load được ảnh avatar của người dùng ta thay thế bằng mascot nhân vật của app là phương án:",190654,Usability Testing,Fallback ,Heuristic Evaluation,Event Tracking,single_choice
254,Đâu không phải là một bước trong Lean Start Up,,Build ,Measure,Learn,Explain ,single_choice
261,Thiết kế UX cải thiện trải nghiệm người dùng bằng cách nào?,,Ưu tiên tính thẩm mỹ hơn khả năng sử dụng,Điều chỉnh các tính năng của sản phẩm phù hợp với nhu cầu của người dùng ,Bằng cách giảm thiểu sự tương tác của người dùng với sản phẩm,Bằng cách chỉ tập trung vào các thông số kỹ thuật,single_choice
366,"Tính thời gian hoàn thành funnels từ step A (View homescreen) -> step B (View cart)?

Trong cùng một session, người dùng có thể thực hiện ""View homescreen"" nhiều lần và ""View cart"" nhiều lần. Ví dụ người dùng View homescreen 3 lần (A1, A2, A3) sau đó View cart 3 lần (B1, B2, B3).

Thời gian của funnels được tính:",,"Từ step A3 đến step B1 (""View homescreen"" lần cuối cùng đến ""View cart"" lần đầu tiên)","Từ step A1 đến step B3 (""View homescreen"" lần đầu tiên đến ""View cart"" lần cuối cùng)","Từ step A1 đến step B1 (""View homescreen"" lần đầu tiên đến ""View cart"" lần đầu tiên) ","Từ step A3 đến step B3 (""View homescreen"" lần cuối cùng đến ""View cart"" lần cuối cùng)
",single_choice
269,Lợi ích chính của Heuristic Evaluation khi thiết kế sản phẩm là gì?,,Cung cấp phản hồi trực tiếp từ người dùng cuối về sản phẩm,Tăng tỷ lệ chuyển đổi của người dùng bằng cách cải thiện giao diện sản phẩm,Giúp phát hiện các vấn đề về tính khả dụng của sản phẩm mà người dùng có thể không nhận ra ngay ,Đảm bảo rằng sản phẩm đáp ứng đầy đủ yêu cầu kỹ thuật và tính năng,single_choice
276,Yếu tố cuối cùng trong Hook Model là,,Trigger,Investment ,Reward,Action,single_choice
278,Tính khả thi giúp đảm bảo?,,Nghiên cứu luôn đúng tuyệt đối,"Nghiên cứu được triển khai thực tế, hiệu quả",Mẫu không cần kiểm tra,Nghiên cứu không cần báo cáo,single_choice
280,Yêu cầu về tốc độ phản hồi API là một yêu cầu nằm trong,,Functional Requirement,Non-functional requirement ,Appendix,Dependencies / Approvals,single_choice
283,"Trong cấu trúc Given – When – Then, phần When mô tả:",,Kết quả mong đợi sau khi hành động,Hành động hoặc sự kiện mà người dùng hoặc hệ thống thực hiện,Các giả định cần kiểm chứng,Yêu cầu về hiệu năng,single_choice
286,Non-functional requirement trong PRD thường mô tả:,,"Cách hệ thống hoạt động, các tiêu chuẩn về hiệu năng, bảo mật, khả năng mở rộng…",Các tính năng chính mà người dùng sẽ sử dụng,Chỉ số marketing để đo hiệu quả chiến dịch,Mục tiêu doanh thu của sản phẩm,single_choice
290,Hiệu ứng 'sunk cost fallacy' khiến bạn:,154287,Dễ thay đổi kế hoạch,Ưu tiên tính năng hiệu quả,Cố tiếp tục làm dù biết không hiệu quả vì đã đầu tư nhiều ,Làm A/B test nhiều hơn,single_choice
293,Mục tiêu chính của Usability Testing là gì?,,Đo lường hiệu năng của hệ thống,Xác định lỗi code,Đánh giá mức độ dễ sử dụng và trải nghiệm người dùng,Kiểm thử bảo mật,single_choice
297,Thời điểm tốt nhất để tiến hành Usability Testing là?,,Sau khi sản phẩm hoàn thiện,"Trong suốt vòng đời phát triển, đặc biệt từ giai đoạn thiết kế",Chỉ khi có khiếu nại từ khách hàng,Khi cần audit bảo mật,single_choice
302,Bước đầu tiên trong Usability Testing thường là gì?,,Cấu hình server,Viết test case cho code,Lập kế hoạch và xác định mục tiêu,Chuẩn bị tài liệu kỹ thuật,single_choice
309,Moderator nên can thiệp khi nào trong buổi Usability Test?,,Không bao giờ can thiệp,Ngay lập tức khi user nhầm lẫn,Khi user bị mắc kẹt quá lâu,Chỉ khi test xong,single_choice
317,Usability Testing giúp,,Tìm ra được bottle neck trong performance hệ thống,Phát hiện các vấn đề về copywriting có thể gây khó hiểu cho người dùng ,Đánh giá mức độ tương thích của giao diện với các thiết bị khác nhau,Phát hiện các vấn đề về layout và tương tác với người dùng thực tế ,multiple_choice
344,"Phương pháp nghiên cứu nào giúp đội ngũ đánh giá được khả năng sử dụng sản phẩm của người dùng?
",,Secondary,Survey,Usability testing ,User Interview,single_choice
346,"Trong 3 cặp màu sau, cặp màu nào có độ tương phản cao nhất?",673500,A,B,C ,,single_choice
349,Yếu tố nào trong visual design ảnh hưởng đến cảm xúc của người dùng?,,Đường nét và kiểu dáng của các yếu tố đồ họa trên giao diện ,Màu sắc được sử dụng trong giao diện ,Ngôn từ được dùng trên giao diện ,,multiple_choice
369,"CR của tập user X là 10%.
X1 và X2 là 2 tập users con MECE từ tập X.
CR của X1 là 12%
CR của X2 có thể là?",,10%,8% ,22%,5% ,multiple_choice
355,"Giao diện sau phù hợp với ERD nào dưới đây nhất?
Chú thích: category: danh mục sản phẩm; sku: sản phẩm",673501,A,B ,Neither A nor B,,single_choice
372,"Cho CR các bước như hình:
Cần tập trung vào step nào để phân tích nguyên nhân người dùng không chuyển đổi?",1234569536,Step 5,Step 2,Step 4 ,Step 1 ,multiple_choice
375,"CR được đo trên Unique User:
CR từ step A -> step B: 38%
CR từ step A -> step C: 31%
CR từ step A -> (B or C) có thể là?",,31%,38% ,40% ,50% ,multiple_choice
378,"CR được đo trên Unique User:
tập X có 125.500 user. CR của tập user X là 6.4%.
X1 có 61.000 users, CR của X1 là 6.9%:
Cho biết X1 và X2 là 2 tập users con MECE từ tập X.
X2 có CR là bao nhiêu?
",,4.98%,5.10%,5.93% ,6.10%,single_choice
381,"CR được đo trên Unique User:

X1 và X2 là 2 tập hợp người dùng độc lập, không giao nhau.
CR của X1 là 71%. X1 có 68.100 users
CR của X2 là 52%. X2 có 1.200 users.
X là tập hợp chỉ chứa X1 và X2.

CR của X là?",,72.50%,69.93%,70.67 % ,71.84%,single_choice
135,"In Digital Behavior Event Tracking, what custom event name should be recorded when user tap this?",573498,B,A ,C,D,single_choice
384,"2 trigger gửi lên 2 event name ""process_checkout"" và ""Process_checkout"", event tracking tool sẽ:",,Cảnh báo về format tên chưa chuẩn ,Tự động ghi nhận 2 event đó về chung vào một event có tên snake_case (process_checkout),Ghi nhận thành 2 event khác nhau và xử lý độc lập ,,single_choice
390,Phát biểu nào sau đây đúng về đặc điểm của event tracking?,,"Muốn ghi nhận thời điểm event xảy ra thì cần phải cài thêm một custom properties timestamp.
",Một event chỉ có thể được ghi nhận từ back-end của hệ thống,Một event chỉ có thể được ghi nhận khi đã được chuẩn hóa về múi giờ chuẩn GTM +0,"Một khi event đã được ghi nhận (track) và gửi lên hệ thống, thì nó không thể bị thay đổi hoặc chỉnh sửa. ",single_choice
393,Immutable property (Không thể chỉnh sửa) là đặc điểm của,,User Property,Event Property ,Cả 2 đáp án trên,,single_choice
399,Một nguyên tắc quan trọng khi đặt tên event là gì?,,Đặt theo cảm hứng,Dùng viết tắt khó hiểu,Tránh dùng động từ,Phản ánh rõ hành động người dùng,single_choice
402,"Trong các ví dụ sau, đâu là event hành động?",,user_profile_loaded,checkout_completed,add_task ,payment_method_updated,single_choice
405,"Với event “user_profile_loaded”, phần “loaded” cho thấy điều gì?",,Đây là hành động user thực hiện,Đây là sự thay đổi trạng thái hoặc thuộc tính đã hoàn tất ,Đây là hành động đang diễn ra,Đây là lỗi hệ thống,single_choice
394,Khi độ lệch chuẩn nhỏ thì:,,Dữ liệu có skewness lớn,Dữ liệu phân tán rộng,Trung bình thấp hơn median,Dữ liệu tập trung gần trung bình ,single_choice
409,"Nếu muốn phân biệt các event cùng loại, cách nào tốt nhất?",,Viết hoa để phân biệt,Thêm ký tự đặc biệt vào tên event,Đổi tên event mỗi lần,Dùng property bổ sung,single_choice
412,Tên property thường dùng chữ:,,thường (lowercase),hoa toàn bộ,kết hợp số ngẫu nhiên,dài dòng,single_choice
414,Property 'age' nên được lưu dưới dạng:,,number,string,array,datetime,single_choice
418,Property 'product_ids' cho giỏ hàng nên là:,,array,string,number,boolean,single_choice
422,"Event ""payment_success"" nên trigger vào lúc nào?",,Khi hệ thống xác nhận thanh toán thành công,Khi user bấm nút mua,Khi giao diện đặt đơn thành công được load lên UI của người dùng,Khi user xem chi tiết sản phẩm,single_choice
10,Ứng dụng nào có MAU cao hơn vào tháng 2/2015?,675905,App 1 ,App 2 ,Cả 2 ứng dụng có MAU bằng nhau,Chưa đủ dữ liệu để kết luận,single_choice
11,Ứng dụng nào có MAU cao hơn vào tháng 7/2015?,675905,App 1,App 2 ,Cả 2 ứng dụng có MAU bằng nhau,Chưa đủ dữ liệu để kết luận,single_choice
116,Tại thời điềm nào (ngoại trừ Month 0) thì 2 ứng dụng có số lượng MAU bằng nhau?,675905,Ngoài Month 0 ra thì không có tháng nào 2 ứng dụng có cùng số lượng MAU,Trong 6 tháng đầu năm 2016,Trong 6 tháng cuối năm 2016 ,Trong 6 tháng đầu năm 2017,single_choice
419,Khi nào nên sử dụng Column Chart?,,Khi muốn so sánh các nhóm dữ liệu theo từng danh mục,Khi cần thể hiện xu hướng theo thời gian,Khi muốn hiển thị thành phần trong một tổng thể,Khi hiển thị phân phối xác suất,single_choice
133,"This is a list of users using the pronunciation feature by day in a dictionary app.
The D3 retention of the feature in the timeframe 01 June - 05 June is:",675903,30%,33.33%,31.25% ,None of the above,single_choice
427,Diversity hữu ích đặc biệt trong?,,Công cụ đo lường,Survey định lượng,Phân tích thống kê,Nghiên cứu khám phá (exploratory research),single_choice
429,Trong một sản phẩm bất kỳ: Nếu cùng phương pháp đo lường thì Retention Week 5 có thể cao hơn Retention Week 4 không?,,Không,Chắc chắn có vì week A+n luôn có retention lớn hơn week A,Có ,,single_choice
433,Trong một sản phẩm bất kỳ: Nếu cùng phương pháp đo lường thì Retention Day 15 có thể cao hơn Retention Day 10 không?,,Không,Có ,,,single_choice
436,Trong một sản phẩm bất kỳ: Nếu cùng phương pháp đo lường thì Retention Day 60 có thể cao hơn Retention Day 30 không?,179883,FALSE,Chưa đủ dữ kiện kết luận,TRUE ,,single_choice
439,Retention rate cao thường dẫn đến kết quả gì?,9548,Doanh thu ngắn hạn tăng,Chi phí quảng cáo tăng,Số lượng người dùng mới giảm,Giá trị vòng đời khách hàng (CLV) cao hơn ,single_choice
442,What type of chart is ideal for showing trends over long period of time?,183410,Heat map,Bar chart,Area chart,Line chart,single_choice
443,Retention rate thấp có thể chỉ ra điều gì?,42751,Sản phẩm có doanh thu cao,Nhu cầu của người dùng là tạm thời mà không có tính lặp lại trong thời gian dài ,Người dùng không thấy giá trị trong sản phẩm ,Sản phẩm có quá nhiều người dùng mới,multiple_choice
446,Tại sao retention rate quan trọng với một sản phẩm?,109001,Tăng giá sản phẩm,Tăng số lượng người dùng mới,Giảm chi phí quảng cáo,Giúp giữ chân người dùng và tăng giá trị lâu dài ,single_choice
449,Mục đích chính của việc sử dụng SUS (System Usability Scale) trong thiết kế sản phẩm là gì?,73612,Để đo lường khả năng bảo mật của hệ thống,Để đánh giá mức độ hài lòng và sự dễ sử dụng của người dùng đối với sản phẩm ,Để đo lường chất lượng mã nguồn của sản phẩm,,single_choice
451,Retention theo ngày trong 60 ngày đầu tiên từ lúc tải app. Chart phù hợp là:,,Column Chart,Histogram,Pie Chart,Line Chart,single_choice
454,Pie Chart phù hợp nhất khi số lượng danh mục là:,,Trên 10 phần với kích thước gần bằng nhau,"Rất nhiều, hơn 20 phần",Chỉ có 1 phần,"Ít, khoảng 3–6 phần",single_choice
456,Công thức tính NPS là gì?,,(Promoter – Passive) ÷ tổng số,(Promoter ÷ tổng số) × 100,(*Promoter/Total – *Detractor/Total),(%Passive – %Detractor),single_choice
473,"In survey, which format is best for generating new insight?",199518,Likert scale,Frequency scale,Free text field ,Multiple choice,single_choice
480,Nhược điểm lớn nhất của single choice là gì?,,Khó tổng hợp,Quá phức tạp để trả lời,Không dễ triển khai,Mất khả năng linh hoạt khi người dùng có nhiều lựa chọn muốn chọn ,single_choice
485,Nhược điểm chính của Likert scale là gì?,,Không quen thuộc,Không thu được số liệu định tính,Quá phức tạp,Dễ bị thiên lệch xu hướng trung lập (chọn ở giữa),single_choice
491,Một ví dụ về mẫu không đại diện là?,,Khảo sát cả giới tính,Khảo sát nhiều độ tuổi,Khảo sát từ nhiều vùng,Khảo sát chỉ sinh viên để kết luận cho toàn dân số,single_choice
493,NPS đo lường điều gì?,,Mức độ hài lòng tức thì,Khả năng khách hàng giới thiệu sản phẩm/dịch vụ cho người khác,Hiệu suất tài chính,Tần suất sử dụng sản phẩm,single_choice
496,Một điểm NPS âm có nghĩa là gì?,,Không có dữ liệu,Có nhiều Promoter hơn Detractor,Tất cả khách hàng hài lòng,Có nhiều Detractor hơn Promoter,single_choice
500,CSAT phản ánh yếu tố nào?,,Tăng trưởng doanh thu,Sự trung thành dài hạn,Sức khỏe thương hiệu,"Sự hài lòng ngắn hạn, cảm xúc tức thời",single_choice
504,Điểm CSAT cao cho thấy điều gì?,,Không liên quan,Khách hàng sẽ chắc chắn giới thiệu,Khách hàng sẽ trung thành suốt đời,Khách hàng hài lòng với trải nghiệm cụ thể,single_choice
507,CSAT phù hợp để đo lường gì?,,Ý định giới thiệu,Sự hài lòng với một trải nghiệm cụ thể,Lòng trung thành dài hạn,Doanh thu,single_choice
510,Khi nào nên sử dụng Stack Column Chart?,,Khi muốn hiển thị phân phối,Khi chỉ cần xem tỷ lệ %,Khi muốn xem xu hướng,Khi muốn so sánh giá trị tổng và đồng thời thấy được thành phần đóng góp,single_choice
513,"Doanh số theo từng quý, chia theo sản phẩm A, B, C. Chart phù hợp là:",,Stack Column Chart,Pie Chart,Line Chart,Histogram,single_choice
516,Which chart is effective for displaying distributions?,17113,Line chart,Pie chart,Area chart,Histogram,single_choice
517,Một mẫu đại diện tốt cần?,,"Phản ánh đúng cấu trúc nhân khẩu, hành vi của population",Có số lượng mẫu bằng tối thiểu 78.2% tổng thể,Không thay đổi,Chỉ từ một nguồn,single_choice
529,Khi nào nên sử dụng Stack 100% Column Chart?,,Khi muốn so sánh tỷ trọng (%) của các thành phần trong các nhóm,Khi muốn so sánh giá trị tuyệt đối,Khi muốn thấy xu hướng,Khi xem phân phối,single_choice
532,"Khảo sát online muốn biết tần suất học bài giữa các nhóm người dùng, đồ thị nào nên được sử dụng",,Stack 100% Column Chart,Line Chart,Histogram,Pie Chart,single_choice
535,Điểm yếu của Pie Chart là gì?,,Khó so sánh khi có nhiều thành phần nhỏ,Không thể hiện tỉ lệ,Không hiển thị màu sắc,Không thể sử dụng dữ liệu phần trăm,single_choice
539,Giả thiết nào sau đây là ví dụ của Null Hypothesis?,36993,Thời gian đặt đơn trung bình của tổng thể NHỎ HƠN 30s,Thời gian đặt đơn trung bình của tổng thể KHÁC 30s,Thời gian đặt đơn trung bình của tổng thể LỚN HƠN 30s,Thời gian đặt đơn trung bình của tổng thể BẰNG 30s ,single_choice
542,Điều gì khiến A/B test dễ sai lệch?,177365,Tổng số người dùng là lẻ nên không thể chia đôi chính xác thành 2 nhóm có cùng số lượng người,Chọn sai font chữ,Không dùng công cụ analytics,Thời gian test quá ngắn hoặc có sự kiện bất thường ,single_choice
545,"Nếu p-value < 0.05, điều đó có nghĩa gì (với mức ý nghĩa α = 0.05)?",73125,Phải chấp nhận H₀,Sai số là 95%,Bác bỏ H₀,Không có đủ bằng chứng để bác bỏ H₀,single_choice
548,"Trong kiểm định giả thuyết, giả thuyết không (null hypothesis) thường được ký hiệu là gì?",183553,Hα,H₂,H₁,H₀,single_choice
552,Giả thiết nào sau đây là ví dụ của H0?,91460,Giá trị đơn hàng trung bình của tổng thể NHỎ HƠN 1.200.000 VND,Giá trị đơn hàng trung bình của tổng thể KHÁC 1.200.000 VND ,Giá trị đơn hàng trung bình của tổng thể LỚN HƠN 1.200.000 VND,Giá trị đơn hàng trung bình của tổng thể BẰNG 1.200.000 VND,single_choice
558,"Một nghiên cứu kiểm tra trung bình chiều cao của nam sinh viên (mẫu n=30, trung bình mẫu = 170 cm, độ lệch chuẩn = 5 cm) so với giá trị 168 cm. Với α=0.05, kiểm định One Sample t-Test cho thấy p-value = 0.03. Kết luận là gì?",4337,Reject H0,Fail to reject H0,Không đủ thông tin để kết luận,H0 không thể bị bác bỏ,single_choice
564,"Một kiểm định Two Sample t-Test so sánh thu nhập giữa hai nhóm (p-value = 0.03, α=0.05). Kết luận là gì?",116577,Fail to reject H0,Không đủ thông tin để kết luận,H0 không thể bị bác bỏ,Reject H0,single_choice
569,Điều gì xảy ra nếu kích thước mẫu quá nhỏ?,94397,Độ tin cậy giảm,Chi phí tăng,Quá trình nhanh hơn,Sự tham gia cao hơn,single_choice
